Name,Friendliness,Energy,Protectiveness,Life Expectancy,Size,Maintenance
Afghan Hound,3,3.5,3,4.111111111,3.180487132,2.8
Akita,2,3.5,5,2.777777778,3.791375886,2.4
Alaskan Malamute,3,3.5,4,2.777777778,3.392885646,2.2
American Eskimo Dog,4.333333333,3.5,3,3.666666667,3.098854479,2.4
American Hairless Terrier,3.666666667,3,3,4.111111111,1.718684181,1.4
American Leopard Hound,3.666666667,3.5,3,3.444444444,3.046624942,2.2
American Staffordshire Terrier,3.333333333,3,5,3.666666667,2.568242234,2
American Water Spaniel,3,3,3,2.777777778,2.169751994,1.8
Anatolian Shepherd Dog,2.333333333,3,5,2.777777778,4.131059892,2.6
Australian Cattle Dog,3,4,4,3.666666667,2.462042977,1.6
Australian Shepherd,3.666666667,4.5,3,3.444444444,2.783737076,2
Barbet,4.333333333,3,3,3.222222222,2.774742123,2
Basenji,3,3.5,3,3.444444444,2.06943336,1.8
Basset Hound,4.333333333,2.5,3,3,2.089859525,3.2
Beagle,4.333333333,4,2,3,1.844769546,2.6
Beauceron,2.666666667,4,4,2.333333333,3.632947092,2.8
Belgian Malinois,3,3.5,4,4.111111111,3.157660712,2
Bergamasco Sheepdog,3,3,4,3.666666667,3.158704823,1.6
Berger Picard,3,3.5,4,3,3.116844386,1.8
Bernese Mountain Dog,4.666666667,4,3,1.222222222,3.612538929,3.2
Bichon Frise,5,4,2,3.888888889,1.444731142,2.4
Bloodhound,3,3,2,2.333333333,3.650936999,3.4
Boerboel,3,3,5,1.888888889,4.551020408,2.6
Bolognese,3,4,2,3.222222222,1.394397806,2.2
Border Collie,3.333333333,5,3,3.444444444,2.584491956,2.4
Borzoi,3,3.5,3,2.555555556,3.836158633,2.4
Boston Terrier,4.666666667,4.5,3,2.777777778,1.934875097,1.8
Boxer,4,4,4,2.333333333,3.134834292,2.4
Bracco Italiano,3.666666667,3.5,3,2.777777778,3.223043643,1.6
Brittany,3.666666667,4.5,3,3.222222222,2.373833626,2.2
Bull Terrier,2.666666667,4,3,3,2.871946426,2.4
Bullmastiff,3,3.5,5,1,3.886161933,2
Cane Corso,3,3.5,5,2.111111111,3.718390149,2.2
Cardigan Welsh Corgi,3.666666667,4,3,3.444444444,1.723364677,2.6
Cavalier King Charles Spaniel,4.666666667,3,3,3.444444444,1.613877071,2.2
Chihuahua,2,4,4,4.111111111,1.000588062,2.4
Chinese Shar-Pei,3,3,4,1.888888889,2.579655443,2.6
Chinook,4.333333333,3,4,3.444444444,3.216466946,2.8
Chow Chow,2.333333333,3,5,1.888888889,2.59764535,2.6
Cocker Spaniel,4.666666667,3.5,3,2.777777778,1.929690547,2.8
Coton de Tulear,5,3.5,3,5,1.400626466,2
Dachshund,3.666666667,3.5,4,3.666666667,1.387317056,2.6
Dalmatian,3.333333333,4,4,2.777777778,2.84254331,2.6
Doberman Pinscher,4,4.5,5,2.333333333,3.57085251,2.2
Field Spaniel,4.333333333,3,3,3,2.380410323,2.2
French Bulldog,4.666666667,4,3,2.333333333,1.661270095,2
German Longhaired Pointer,4.333333333,4,3,3.222222222,3.245870062,2
Giant Schnauzer,3,4.5,5,3.444444444,3.3830206,2.6
Golden Retriever,5,3.5,3,2.333333333,3.094017966,2
Great Dane,3,4,5,1.222222222,4.603057924,2.8
Great Pyrenees,3,3,5,2.333333333,3.995457518,2.8
Greyhound,3.333333333,3.5,3,2.555555556,3.542997558,2
Havanese,5,4,3,4.111111111,1.345108582,2.4
Hovawart,4,3.5,5,2.777777778,3.404298856,2
Irish Setter,5,5,3,3.444444444,3.379732252,2.6
Irish Terrier,3,3,5,3.666666667,2.186349753,2
Italian Greyhound,4.333333333,3.5,3,3.888888889,1.677519817,2
Japanese Chin,3.666666667,3,3,2.333333333,1.292531008,2.2
Jindo,3,3.5,5,3.666666667,2.514272513,2.2
Keeshond,5,4.5,5,3.444444444,2.351007207,2.6
Komondor,2.666666667,3,5,2.333333333,3.943924056,2.4
Labrador Retriever,5,5,3,2.333333333,3.123421083,2.4
Maltese,3,3,4,3.444444444,1.154792408,2.4
Miniature Pinscher,3.333333333,4.5,5,3.666666667,1.435388151,2.6
Mudi,3,5,4,3.222222222,2.05490582,2
Newfoundland,5,3,5,1.666666667,4.167039706,2.8
Norfolk Terrier,4.333333333,4,4,3.666666667,1.321934125,2.6
Nova Scotia Duck Tolling Retriever,4,5,3,3.222222222,2.502859303,2
Otterhound,3.333333333,3,3,2.555555556,3.761972769,2.8
Papillon,4.333333333,4.5,4,4.111111111,1.274889138,2.4
Pekingese,3,3.5,4,3.222222222,1.146907572,2.2
Pembroke Welsh Corgi,3.666666667,4,5,3,1.623742117,2.6
Pomeranian,3,3,4,3.666666667,1.000588062,2.6
Poodle (Miniature),4.333333333,4.5,3,3.666666667,1.578593331,2.2
Pug,4.666666667,4,3,3.666666667,1.538125041,2
Pumi,3,4.5,4,3,2.11924464,1.8
Rhodesian Ridgeback,3.666666667,3,5,2.333333333,3.445115182,2.2
Rottweiler,3,3.5,5,1.666666667,3.698330023,1.8
Russian Toy,3,3.5,4,3.222222222,1.244897959,2.4
Samoyed,4.333333333,4.5,4,3.222222222,2.800856891,2.8
Schipperke,3,3.5,5,3.222222222,1.543657628,2.4
Shetland Sheepdog,4,4.5,5,3.222222222,1.830067987,2.6
Shiba Inu,3,3,5,3.888888889,1.91170064,2.6
Shih Tzu,4.333333333,3,3,3.666666667,1.354103535,2.2
Siberian Husky,5,5,1,3.222222222,2.786155332,3
Smooth Fox Terrier,3,4,5,3.444444444,1.8764169,2.8
Staffordshire Bull Terrier,4,4,5,3.222222222,2.000258027,2.2
Tibetan Mastiff,2.333333333,3,5,2.333333333,3.879585236,3.2
Treeing Walker Coonhound,4.333333333,4.5,3,3,3.116844386,2.4
Vizsla,4.333333333,5,3,3.222222222,2.917947302,2.2
West Highland White Terrier,4,4.5,5,3.666666667,1.514950585,3
Whippet,4.333333333,4,3,3.444444444,2.466879489,1.6
Xoloitzcuintli,3,4,3,4.333333333,2.724582806,1.6
Yorkshire Terrier,4.333333333,4,5,3.222222222,1.105743209,2.6
