Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
Golden Retriever,10,12,60.96,60.96,34.01942775,29.48350405,58.42,58.42,29.48350405,24.94758035,5,5,4,2,2,1,5,4,3,5,3,1
Dachshund,12,16,22.86,22.86,14.51495584,14.51495584,20.32,20.32,7.25747792,7.25747792,3,4,2,2,2,2,4,4,4,4,3,5
Labrador Retriever,10,12,62.23,62.23,36.2873896,31.7514659,57.15,57.15,29.48350405,24.94758035,5,5,4,2,2,1,5,5,3,5,5,3
Great Dane,7,10,81.28,81.28,79.37866475,63.5029318,76.2,76.2,63.5029318,49.8951607,3,3,3,1,4,1,3,4,5,3,4,3
Boxer,10,12,63.5,63.5,36.2873896,29.48350405,58.42,58.42,29.48350405,22.6796185,5,3,2,2,3,1,4,4,4,4,4,3
Dalmatian,11,13,60.96,60.96,31.7514659,31.7514659,48.26,48.26,20.41165665,20.41165665,3,3,4,2,2,1,4,4,4,4,4,3
Poodle (Miniature),10,18,38.1,38.1,6.80388555,6.80388555,25.4,25.4,4.5359237,4.5359237,5,3,1,4,1,1,5,5,3,5,4,4
Bullmastiff,7,9,68.58,68.58,58.9670081,54.4310844,63.5,63.5,49.8951607,45.359237,3,3,3,1,3,1,3,3,5,4,4,1
Beagle,10,15,40.64,38.1,9.0718474,13.6077711,35.56,33.02,6.80388555,9.0718474,5,5,3,2,1,1,3,4,2,3,4,4
Border Collie,12,15,55.88,55.88,24.94758035,24.94758035,48.26,48.26,13.6077711,13.6077711,3,3,3,3,1,1,4,5,3,5,5,4
Siberian Husky,12,14,59.69,59.69,27.2155422,22.6796185,53.34,53.34,20.41165665,15.87573295,5,5,4,2,1,1,5,5,1,3,5,5
Shih Tzu,10,18,26.67,26.67,7.25747792,7.25747792,22.86,22.86,4.08233133,4.08233133,5,5,1,4,1,1,3,3,3,4,3,3
Pomeranian,12,16,17.78,17.78,3.17514659,3.17514659,15.24,15.24,1.36077711,1.36077711,3,3,2,3,1,1,3,3,4,3,3,4
Cardigan Welsh Corgi,12,15,31.75,31.75,17.23651006,15.42214058,26.67,26.67,13.6077711,11.33980925,4,3,3,2,1,1,4,4,3,4,4,5
Greyhound,10,13,76.2,76.2,31.7514659,29.48350405,71.12,71.12,29.48350405,27.2155422,3,4,2,1,1,1,3,3,3,3,4,3
Chow Chow,8,12,50.8,50.8,31.7514659,31.7514659,43.18,43.18,20.41165665,20.41165665,3,2,3,3,3,1,2,3,5,3,3,1
Chinese Shar-Pei,8,12,50.8,50.8,27.2155422,27.2155422,45.72,45.72,20.41165665,20.41165665,3,3,3,1,3,1,3,3,4,3,3,3
Cocker Spaniel,10,14,39.37,39.37,13.6077711,11.33980925,36.83,36.83,11.33980925,9.0718474,5,5,3,4,2,1,4,3,3,4,4,3
Great Pyrenees,10,12,81.28,81.28,54.4310844,40.8233133,68.58,68.58,49.8951607,36.2873896,3,3,3,2,3,1,3,3,5,3,3,3
West Highland White Terrier,13,15,27.94,27.94,9.0718474,9.0718474,27.94,27.94,6.80388555,6.80388555,5,3,3,3,1,1,4,5,5,3,4,5
Bernese Mountain Dog,7,10,69.85,69.85,52.16312255,43.09127515,63.5,63.5,36.2873896,31.7514659,5,5,5,3,3,1,4,4,3,4,4,3
Bull Terrier,12,13,55.88,55.88,31.7514659,31.7514659,53.34,53.34,22.6796185,22.6796185,3,1,3,2,1,1,4,4,3,3,4,3
Newfoundland,9,10,71.12,71.12,68.0388555,54.4310844,71.12,71.12,58.9670081,45.359237,5,5,3,2,5,1,5,3,5,3,3,1
Basset Hound,12,13,38.1,35.56,29.48350405,29.48350405,30.48,27.94,18.1436948,18.1436948,5,5,2,3,4,1,3,3,3,3,2,4
German Longhaired Pointer,12,14,71.12,71.12,36.2873896,36.2873896,55.88,55.88,24.94758035,24.94758035,5,4,3,1,2,1,4,4,3,5,4,3
Pug,13,15,33.02,33.02,8.16466266,8.16466266,25.4,25.4,6.35029318,6.35029318,5,4,4,2,1,1,5,5,3,4,3,1
Boston Terrier,11,13,43.18,43.18,11.33980925,11.33980925,38.1,38.1,5.44310844,5.44310844,5,4,2,2,1,1,5,5,3,4,4,2
