Name,Friendliness,Energy,Protectiveness,Life Expectancy,Size,Maintenance
Afghan Hound,2.333333333333333,2.6,3,4.111111111111111,4.183673469387754,3.8
Akita,1.0,2.6,5,2.7777777777777777,4.346938775510204,3.0
Alaskan Malamute,2.333333333333333,2.6,4,2.7777777777777777,4.020408163265306,2.6000000000000005
American Eskimo Dog,4.111111111111111,2.6,3,3.6666666666666665,4.020408163265306,3.0
American Hairless Terrier,3.222222222222222,1.8,3,4.111111111111111,2.2244897959183674,1.0
American Leopard Hound,3.222222222222222,2.6,3,3.4444444444444446,3.8571428571428568,2.6000000000000005
American Staffordshire Terrier,2.7777777777777777,1.8,5,3.6666666666666665,2.9591836734693873,2.2
American Water Spaniel,2.333333333333333,1.8,3,2.7777777777777777,2.6326530612244894,1.8000000000000003
Anatolian Shepherd Dog,1.4444444444444446,1.8,5,2.7777777777777777,4.673469387755102,3.4000000000000004
Australian Cattle Dog,2.333333333333333,3.4,4,3.6666666666666665,3.040816326530612,1.4000000000000004
Australian Shepherd,3.222222222222222,4.2,3,3.4444444444444446,3.4489795918367343,2.2
Barbet,4.111111111111111,1.8,3,3.2222222222222223,3.4897959183673466,2.2
Basenji,2.333333333333333,2.6,3,3.4444444444444446,2.7142857142857144,1.8000000000000003
Basset Hound,4.111111111111111,1.0,3,3.0,2.0612244897959178,4.6000000000000005
Beagle,4.111111111111111,3.4,2,3.0,2.3061224489795915,3.4000000000000004
Beauceron,1.8888888888888888,3.4,4,2.333333333333333,4.26530612244898,3.8
Belgian Malinois,2.333333333333333,2.6,4,4.111111111111111,4.020408163265306,2.2
Bergamasco Sheepdog,2.333333333333333,1.8,4,3.6666666666666665,3.775510204081632,1.4000000000000004
Berger Picard,2.333333333333333,2.6,4,3.0,3.938775510204081,1.8000000000000003
Bernese Mountain Dog,4.555555555555555,3.4,3,1.2222222222222223,4.224489795918367,4.6000000000000005
Bichon Frise,5.0,3.4,2,3.888888888888889,1.6530612244897962,3.0
Bloodhound,2.333333333333333,1.8,2,2.333333333333333,4.183673469387754,5.0
Boerboel,2.333333333333333,1.8,5,1.8888888888888888,4.1020408163265305,3.4000000000000004
Bolognese,2.333333333333333,3.4,2,3.2222222222222223,1.7346938775510203,2.6000000000000005
Border Collie,2.7777777777777777,5.0,3,3.4444444444444446,3.2857142857142856,3.0
Borzoi,2.333333333333333,2.6,3,2.5555555555555554,4.877551020408163,3.0
Boston Terrier,4.555555555555555,4.2,3,2.7777777777777777,2.5510204081632653,1.8000000000000003
Boxer,3.6666666666666665,3.4,4,2.333333333333333,3.8571428571428568,3.0
Bracco Italiano,3.222222222222222,2.6,3,2.7777777777777777,3.8571428571428568,1.4000000000000004
Brittany,3.222222222222222,4.2,3,3.2222222222222223,3.0408163265306123,2.6000000000000005
Bull Terrier,1.8888888888888888,3.4,3,3.0,3.4489795918367343,3.0
Bullmastiff,2.333333333333333,2.6,5,1.0,4.183673469387754,2.2
Cane Corso,2.333333333333333,2.6,5,2.111111111111111,4.224489795918367,2.6000000000000005
Cardigan Welsh Corgi,3.222222222222222,3.4,3,3.4444444444444446,1.816326530612245,3.4000000000000004
Cavalier King Charles Spaniel,4.555555555555555,1.8,3,3.4444444444444446,1.9795918367346939,2.6000000000000005
Chihuahua,1.0,3.4,4,4.111111111111111,1.0,3.0
Chinese Shar-Pei,2.333333333333333,1.8,4,1.8888888888888888,3.040816326530612,3.4000000000000004
Chinook,4.111111111111111,1.8,4,3.4444444444444446,4.020408163265306,3.8
Chow Chow,1.4444444444444446,1.8,5,1.8888888888888888,2.9591836734693873,3.4000000000000004
Cocker Spaniel,4.555555555555555,2.6,3,2.7777777777777777,2.387755102040816,3.8
Coton de Tulear,5.0,2.6,3,5.0,1.6530612244897962,2.2
Dachshund,3.222222222222222,2.6,4,3.6666666666666665,1.326530612244898,3.4000000000000004
Dalmatian,2.7777777777777777,3.4,4,2.7777777777777777,3.4489795918367343,3.4000000000000004
Doberman Pinscher,3.6666666666666665,4.2,5,2.333333333333333,4.346938775510204,2.6000000000000005
Field Spaniel,4.111111111111111,1.8,3,3.0,2.8775510204081627,2.6000000000000005
French Bulldog,4.555555555555555,3.4,3,2.333333333333333,1.8979591836734695,2.2
German Longhaired Pointer,4.111111111111111,3.4,3,3.2222222222222223,4.020408163265306,2.2
Giant Schnauzer,2.333333333333333,4.2,5,3.4444444444444446,4.26530612244898,3.4000000000000004
Golden Retriever,5.0,2.6,3,2.333333333333333,3.775510204081632,2.2
Great Dane,2.333333333333333,3.4,5,1.2222222222222223,5.0,3.8
Great Pyrenees,2.333333333333333,1.8,5,2.333333333333333,4.755102040816326,3.8
Greyhound,2.7777777777777777,2.6,3,2.5555555555555554,4.673469387755102,2.2
Havanese,5.0,3.4,3,4.111111111111111,1.5714285714285714,3.0
Hovawart,3.6666666666666665,2.6,5,2.7777777777777777,4.1020408163265305,2.2
Irish Setter,5.0,5.0,3,3.4444444444444446,4.346938775510203,3.4000000000000004
Irish Terrier,2.333333333333333,1.8,5,3.6666666666666665,2.8775510204081627,2.2
Italian Greyhound,4.111111111111111,2.6,3,3.888888888888889,2.2244897959183674,2.2
Japanese Chin,3.222222222222222,1.8,3,2.333333333333333,1.489795918367347,2.6000000000000005
Jindo,2.333333333333333,2.6,5,3.6666666666666665,3.2040816326530606,2.6000000000000005
Keeshond,5.0,4.2,5,3.4444444444444446,2.8775510204081627,3.4000000000000004
Komondor,1.8888888888888888,1.8,5,2.333333333333333,4.428571428571428,3.0
Labrador Retriever,5.0,5.0,3,2.333333333333333,3.775510204081632,3.0
Maltese,2.333333333333333,1.8,4,3.4444444444444446,1.2448979591836735,3.0
